VERB,DIR,GOAL,FIN,INF,PART,GERUND,IMPER,A1.anim,A2.anim,is.A2
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,1,1,1,0,0,0,0,1,1,1
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,1,1,0,0,0,0,1,1,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,1,0,1,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,1,1,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,0,1,1,0,0
nagnut'sa,1,0,0,0,0,1,0,1,0,1
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,1
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,1,1,0,0,0,1,0,1,1,1
nagnut'sa,1,1,1,0,0,0,0,1,1,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,1,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,1,0,0,0,0,1,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,1,0,0,0,0,1,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,1,1,1,0,0,0,0,1,0,1
nagnut'sa,1,0,0,0,0,1,0,1,1,1
nagnut'sa,1,0,0,0,0,1,0,1,0,1
nagnut'sa,0,1,0,0,0,0,1,1,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,0,0,1,0,0,0,0,1,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,1,0,1,0,0,0,0,0,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,0,0,1,0,0,0,0,1,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.2,0,0,0,0,0,1,0,1,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,0,0,1,0,0,0,0,1,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,1,0,0,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,0,0,1,0,0,0,0,1,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,0,0,0,1,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,0,0,1,0,0,0,0,1,0,0
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,0,1,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,0,0,0,1,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,1,0,0,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,0,0,1,0,0,0,0,1,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,0,0,0,1,0,1,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,0,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,1,0,0,0,0,1,0,1,1,1
pokosit'sa.2,1,0,1,0,0,0,0,1,1,1
pokosit'sa.2,0,0,1,0,0,0,0,1,0,0
pokosit'sa.1,0,0,0,0,1,0,0,0,0,0
